x y
903.4579681364211 601.3811445562835
101.45017817682165 811.6937183633822
296.93163225153376 95.78466025830956
186.38998564111952 1207.2858484180433
1084.7935701110116 208.63233917182043
301.1809165288646 88.34133020547088
201.34124412097137 1210.118589404506
188.02351043335057 1191.3862153184843
891.4674625757408 594.0450427487266
108.37031380132944 794.1320979369825
106.60039606842732 790.3766634692558
411.8832390788805 995.6610035652446
288.7170441725543 107.15825637376955
1091.195540442419 198.77580412825571
908.7528915255197 585.0381613562778
907.7715244271806 615.4574719148711
94.89116579819171 808.5246740334758
205.14128369614338 1200.7953864883332
896.2264108878082 597.2546577744017
94.14748134621018 805.710232632924
185.5751291099915 1201.0647137176843
397.11985640453054 1020.1567781031257
1113.765291480619 195.02393156904216
908.4004438840814 600.4768252464984
305.67107679735585 84.96750469748946
93.26535165613396 792.2994643411115
195.1467082039708 1197.8993950262202
914.5291521990323 596.654513988249
385.94868240650214 1010.1226729942001
203.10208867897708 1200.239307004602
211.9395443726612 1216.126985766253
1086.6798487239837 200.5465811224212
906.3107564918896 613.58163115418
403.3767504666558 991.4011116765415
191.3781198440264 1207.9522310761486
106.87845660878126 785.9894211727307
895.5918555346153 590.2755149124235
98.0212452009754 791.041868766027
410.94457196870053 1004.1892958853202
298.59174838746884 103.57117319020631
1073.1755250367366 204.5268798718979
1103.3828439833765 190.39006800722464
415.7155075615976 984.2953143927864
305.49090710394114 112.25098709241485
1098.4014628592292 205.66929213687567
414.9200892377342 1001.3160469712033
390.0430188377084 995.7470573176178
1097.5222575502753 193.5983003602857
300.96851202582036 83.82955476900253
306.96099700881746 112.50500071516568
1102.7531513566 198.21917347001286
400.63686878913313 1011.9934296505296
1101.5260347754788 199.07412665665657
300.5560563793115 115.66071105065775
302.24932839214955 87.3095495628727
393.9966980870166 1011.9697032726767
106.8789251446114 800.8045586989529
122.6058014514866 796.0327222653639
199.5942294789139 1214.558962631943
888.9624928068031 591.499958498403
